----------------
Scanning All Related Classes
Class : Object
N° of classes dependencies found : 882

UGen : 2341 occurence(s)
Filter : 1161 occurence(s)
FilterPattern : 947 occurence(s)
PV_ChainUGen : 874 occurence(s)
Pattern : 722 occurence(s)
PureUGen : 703 occurence(s)
Array : 623 occurence(s)
Error : 537 occurence(s)
IdentityDictionary : 509 occurence(s)
MIDIIn : 454 occurence(s)
View : 436 occurence(s)
Message : 433 occurence(s)
DUGen : 405 occurence(s)
EventStreamCleanup : 388 occurence(s)
AbstractMessageMatcher : 360 occurence(s)
Scale : 352 occurence(s)
CmdPeriod : 332 occurence(s)
InfoUGenBase : 330 occurence(s)
MultiOutUGen : 326 occurence(s)
OutputProxy : 309 occurence(s)
Rect : 304 occurence(s)
Event : 293 occurence(s)
Server : 281 occurence(s)
PV_MagMul : 272 occurence(s)
LFNoise0 : 270 occurence(s)
Char : 253 occurence(s)
ControlSpec : 249 occurence(s)
Select : 244 occurence(s)
FuncFilterPattern : 240 occurence(s)
Class : 232 occurence(s)
Pdup : 227 occurence(s)
Pen : 222 occurence(s)
Window : 222 occurence(s)
Button : 221 occurence(s)
TempoClock : 219 occurence(s)
Index : 217 occurence(s)
MIDIFunc : 210 occurence(s)
WhiteNoise : 210 occurence(s)
Lag : 208 occurence(s)
PV_MagSquared : 204 occurence(s)
Paddp : 202 occurence(s)
ListPattern : 196 occurence(s)
Font : 189 occurence(s)
Color : 186 occurence(s)
IdentitySet : 186 occurence(s)
Routine : 183 occurence(s)
MIDIValueMatcher : 180 occurence(s)
File : 176 occurence(s)
Pfin : 174 occurence(s)
WidthFirstUGen : 174 occurence(s)
Object : 172 occurence(s)
Dseries : 162 occurence(s)
ListDUGen : 162 occurence(s)
LPZ2 : 160 occurence(s)
Pset : 160 occurence(s)
Tuning : 157 occurence(s)
InRange : 155 occurence(s)
BufInfoUGenBase : 154 occurence(s)
Post : 151 occurence(s)
MIDIFuncSrcMessageMatcher : 150 occurence(s)
MIDIMessageDispatcher : 150 occurence(s)
MIDISysDataDispatcher : 150 occurence(s)
EnvGen : 148 occurence(s)
UserView : 147 occurence(s)
LFSaw : 140 occurence(s)
MethodError : 139 occurence(s)
In : 137 occurence(s)
Symbol : 137 occurence(s)
LocalBuf : 136 occurence(s)
PV_MagAbove : 136 occurence(s)
Dbufwr : 135 occurence(s)
Out : 135 occurence(s)
QKeyModifiers : 132 occurence(s)
LagUD : 130 occurence(s)
FuncStream : 129 occurence(s)
OSCFunc : 129 occurence(s)
Psetpre : 128 occurence(s)
SendTrig : 127 occurence(s)
StaticText : 127 occurence(s)
BufCombN : 126 occurence(s)
CombN : 126 occurence(s)
Function : 125 occurence(s)
Pseq : 125 occurence(s)
ScopeView : 124 occurence(s)
Pmulp : 121 occurence(s)
Point : 121 occurence(s)
SimpleNumber : 121 occurence(s)
Changed : 120 occurence(s)
HPZ1 : 120 occurence(s)
Psetp : 120 occurence(s)
Psubdivide : 120 occurence(s)
RandSeed : 120 occurence(s)
TwoPole : 120 occurence(s)
FreqScopeView : 118 occurence(s)
SCDoc : 118 occurence(s)
FreqScope : 117 occurence(s)
String : 115 occurence(s)
SynthDef : 112 occurence(s)
Pn : 109 occurence(s)
Dbufrd : 108 occurence(s)
Pclump : 107 occurence(s)
Env : 104 occurence(s)
Pbinop : 104 occurence(s)
FFT : 103 occurence(s)
Control : 101 occurence(s)
DragSource : 101 occurence(s)
MIDIClient : 100 occurence(s)
K2A : 98 occurence(s)
Peak : 97 occurence(s)
AbstractIn : 96 occurence(s)
Pfindur : 96 occurence(s)
SendReply : 96 occurence(s)
TIRand : 94 occurence(s)
TWindex : 94 occurence(s)
TextViewBase : 94 occurence(s)
SendPeakRMS : 93 occurence(s)
Trig1 : 93 occurence(s)
Stream : 92 occurence(s)
AbstractDispatcher : 90 occurence(s)
AbstractResponderFunc : 90 occurence(s)
AbstractWrappingDispatcher : 90 occurence(s)
MIDISysexDispatcher : 90 occurence(s)
OSCMessageDispatcher : 90 occurence(s)
RandID : 90 occurence(s)
Bus : 89 occurence(s)
AppClock : 86 occurence(s)
ScrollCanvas : 86 occurence(s)
QAlignment : 85 occurence(s)
PV_MagSmear : 84 occurence(s)
ItemViewBase : 83 occurence(s)
AbstractScroll : 82 occurence(s)
Ddup : 81 occurence(s)
Dseq : 81 occurence(s)
Dswitch1 : 81 occurence(s)
LPF : 81 occurence(s)
BPF : 80 occurence(s)
LPZ1 : 80 occurence(s)
OnePole : 80 occurence(s)
Pbindf : 80 occurence(s)
PdurStutter : 80 occurence(s)
Pmono : 80 occurence(s)
Pstretch : 80 occurence(s)
Pstutter : 80 occurence(s)
RLPF : 80 occurence(s)
ControlName : 79 occurence(s)
Impulse : 79 occurence(s)
PopUpMenu : 79 occurence(s)
Layout : 78 occurence(s)
MulAdd : 78 occurence(s)
Pnaryop : 78 occurence(s)
Pprotect : 78 occurence(s)
Punop : 78 occurence(s)
TextField : 77 occurence(s)
Ptrace : 76 occurence(s)
QFileDialog : 75 occurence(s)
VLayout : 75 occurence(s)
HLayout : 74 occurence(s)
ScrollView : 74 occurence(s)
TreeView : 74 occurence(s)
AbstractFunction : 73 occurence(s)
LineLayout : 73 occurence(s)
NumberBox : 73 occurence(s)
DragSink : 72 occurence(s)
FunctionDef : 72 occurence(s)
CheckBox : 71 occurence(s)
CompositeView : 71 occurence(s)
Mix : 71 occurence(s)
AbstractStepValue : 70 occurence(s)
HLayoutView : 70 occurence(s)
VLayoutView : 70 occurence(s)
BufFrames : 69 occurence(s)
DragBoth : 69 occurence(s)
Group : 69 occurence(s)
DragView : 68 occurence(s)
BinaryOpUGen : 67 occurence(s)
CollStream : 67 occurence(s)
Pcollect : 67 occurence(s)
Pdiff : 67 occurence(s)
Pdrop : 67 occurence(s)
Pflatten : 67 occurence(s)
Pfset : 67 occurence(s)
Plag : 67 occurence(s)
Preject : 67 occurence(s)
Pselect : 67 occurence(s)
Dialog : 66 occurence(s)
Help : 66 occurence(s)
Slider : 66 occurence(s)
GridLayout : 65 occurence(s)
TreeViewItem : 65 occurence(s)
AbstractOut : 64 occurence(s)
Buffer : 64 occurence(s)
FileDialog : 64 occurence(s)
List : 64 occurence(s)
Rand : 64 occurence(s)
ScrollTopView : 64 occurence(s)
TopScrollWidget : 64 occurence(s)
TopView : 64 occurence(s)
Warp : 64 occurence(s)
BufDelayN : 63 occurence(s)
ContiguousBlock : 63 occurence(s)
DelayN : 63 occurence(s)
Latch : 63 occurence(s)
PulseCount : 63 occurence(s)
RawArray : 63 occurence(s)
StackLayout : 63 occurence(s)
MostChange : 62 occurence(s)
Osc : 62 occurence(s)
QAbstractStepValue : 62 occurence(s)
SelectX : 62 occurence(s)
WebView : 62 occurence(s)
ListView : 61 occurence(s)
Method : 61 occurence(s)
Pchain : 61 occurence(s)
Stethoscope : 61 occurence(s)
XFade2 : 61 occurence(s)
BrownNoise : 60 occurence(s)
Crackle : 60 occurence(s)
Dust : 60 occurence(s)
Dust2 : 60 occurence(s)
Image : 60 occurence(s)
LFNoise1 : 60 occurence(s)
LFNoise2 : 60 occurence(s)
MIDIFuncBothCAMessageMatcher : 60 occurence(s)
MIDIFuncBothMessageMatcher : 60 occurence(s)
MIDIFuncChanArrayMessageMatcher : 60 occurence(s)
MIDIFuncChanMessageMatcher : 60 occurence(s)
MIDIFuncSrcMessageMatcherNV : 60 occurence(s)
MIDIFuncSrcSysMessageMatcher : 60 occurence(s)
MIDIFuncSrcSysMessageMatcherND : 60 occurence(s)
MIDIMTCtoSMPTEDispatcher : 60 occurence(s)
MIDIMessageDispatcherNV : 60 occurence(s)
MIDISMPTEAssembler : 60 occurence(s)
MIDISysDataDropIndDispatcher : 60 occurence(s)
MIDISysNoDataDispatcher : 60 occurence(s)
OSCArgsMatcher : 60 occurence(s)
OSCFuncAddrMessageMatcher : 60 occurence(s)
OSCFuncBothMessageMatcher : 60 occurence(s)
OSCFuncRecvPortMessageMatcher : 60 occurence(s)
OSCMessagePatternDispatcher : 60 occurence(s)
PinkNoise : 60 occurence(s)
Platform : 60 occurence(s)
SCScope : 60 occurence(s)
QImage : 59 occurence(s)
QKnob : 59 occurence(s)
QPen : 59 occurence(s)
QView : 59 occurence(s)
Quarks : 59 occurence(s)
RangeSlider : 59 occurence(s)
DrawGridX : 58 occurence(s)
EnvelopeView : 58 occurence(s)
Knob : 58 occurence(s)
LevelIndicator : 58 occurence(s)
